เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,วันที่เลิก,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน
'0305561004481,บริษัท 89 บุญเจริญ จำกัด,89 BOONJAROEN COMPANY LIMITED,ฟาร์มเลี้ยงไก่เนื้อ,การเลี้ยงไก่เนื้อ,152 หมู่ที่ 2 ตำบลตูม อำเภอปักธงชัย จ.นครราชสีมา 30150,ยังดำเนินกิจการอยู่,20/7/2561,20 กรกฎาคม 2561,35000000,,,False,,,,https://www.dataforthai.com/company/0305561004481/,,,,,,,,,
'0305558001914,บริษัท 89เพิ่มพูนทรัพย์ จำกัด,89PERMPOONSUB COMPANY LIMITED,ฟาร์มเลี้ยงไก่เนื้อ,การเลี้ยงไก่เนื้อ,106 หมู่ที่ 12 ตำบลตะคุ อำเภอปักธงชัย จ.นครราชสีมา 30150,ยังดำเนินกิจการอยู่,30/4/2558,30 เมษายน 2558,35000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'044249769,,,https://www.dataforthai.com/company/0305558001914/,,,,,,,,,
'0305563005205,บริษัท กุลศิริฟาร์ม(2020) จำกัด,"KULSIRIFARM(2020) CO., LTD.",,การเลี้ยงไก่เนื้อ,225 หมู่ที่ 9 ตำบลโคกไทย อำเภอปักธงชัย จ.นครราชสีมา 30150,ยังดำเนินกิจการอยู่,1/9/2563,1 กันยายน 2563,30000000,,,False,,,,https://www.dataforthai.com/company/0305563005205/,,,,,,,,,
'0205559006279,บริษัท เกษตรชล 2559 จำกัด,KASETCHON 2559 COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,912 ถนนสุขุมวิท ตำบลบางปลาสร้อย อำเภอเมืองชลบุรี จ.ชลบุรี 20000,ยังดำเนินกิจการอยู่,23/2/2559,23 กุมภาพันธ์ 2559,32000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'038274274,,,https://www.dataforthai.com/company/0205559006279/,ดูตำแหน่งงานจาก JOBTH,,,,,,,,
'0305552001971,บริษัท โกลเด้น ฟาร์มโคราช จำกัด,"GOLDEN FARM KORAT CO.,LTD.",ประกอบกิจการฟาร์มเลี้ยงไก่,การเลี้ยงไก่เนื้อ,102 ถนนมุขมนตรี ตำบลในเมือง อำเภอเมืองนครราชสีมา จ.นครราชสีมา 30000,ยังดำเนินกิจการอยู่,18/9/2552,18 กันยายน 2552,50000000,,,False,,,,https://www.dataforthai.com/company/0305552001971/,,,,,,,,,
'0145554001385,บริษัท โกลเดนท์ ฟาร์ม เซ็นเตอร์ จำกัด,"GOLDEN FARM CENTER CO.,LTD.",ธุรกิจฟาร์มเลี้ยงไก่ เชือดและชำแหละไก่เพื่อจำหน่าย,การเลี้ยงไก่เนื้อ,181 หมู่ที่ 7 ตำบลหนองเมือง อำเภอบ้านหมี่ จ.ลพบุรี 15110,ยังดำเนินกิจการอยู่,2/6/2554,2 มิถุนายน 2554,48000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'036298467,,,https://www.dataforthai.com/company/0145554001385/,,,,,,,,,
'0315558000551,บริษัท ไก่ทองฟาร์ม จำกัด,GOLD CHICKEN FARM COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,72 หมู่ที่ 12 ตำบลชุมแสง อำเภอนางรอง จ.บุรีรัมย์ 31110,ยังดำเนินกิจการอยู่,14/5/2558,14 พฤษภาคม 2558,30000000,,,False,,,,https://www.dataforthai.com/company/0315558000551/,,,,,,,,,
'0205557034747,บริษัท คิว ซี เอฟ จำกัด,QCF COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,912 ถนนสุขุมวิท ตำบลบางปลาสร้อย อำเภอเมืองชลบุรี จ.ชลบุรี 20000,ยังดำเนินกิจการอยู่,7/10/2557,7 ตุลาคม 2557,125000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'029543090,,,https://www.dataforthai.com/company/0205557034747/,,,,,,,,,
'0315559001241,บริษัท เคเอ 88 ฟาร์ม จำกัด,KA 88 FARM COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,194/2 หมู่ที่ 8 ตำบลนาดี อำเภอเมืองสุรินทร์ จ.สุรินทร์ 32000,ยังดำเนินกิจการอยู่,20/10/2559,20 ตุลาคม 2559,50000000,,,False,,,,https://www.dataforthai.com/company/0315559001241/,,,,,,,,,
'0305533000191,บริษัท โคราชโพทรีย์ จำกัด,KORAT POUYTRY COMPANY LIMITED,ฟาร์มเลี้ยงไก่เนื้อ,การเลี้ยงไก่เนื้อ,336 หมู่ที่ 2 ตำบลหนองบัวศาลา อำเภอเมืองนครราชสีมา จ.นครราชสีมา 30000,ยังดำเนินกิจการอยู่,26/2/2533,26 กุมภาพันธ์ 2533,180000000,,,False,,,,https://www.dataforthai.com/company/0305533000191/,,,,,,,,,
'0105536132457,บริษัท จีพี บรีดดิ้ง จำกัด,"GP BREEDING CO., LTD.",ผลิตลูกไก่พ่อแม่พันธุ์เนื้อ,การเลี้ยงไก่เนื้อ,312 ถนนพระรามที่ 2 แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150,ยังดำเนินกิจการอยู่,22/11/2536,22 พฤศจิกายน 2536,200000000,,,False,'024601700,,,https://www.dataforthai.com/company/0105536132457/,,,,,,,,,
'0165550000287,บริษัท เจเจ.แฟมิลี่โพลทรี้ฟาร์ม จำกัด,"JJ.FAMILY POULTRY FARM CO.,LTD.",,การเลี้ยงไก่เนื้อ,30 หมู่ที่ 3 ตำบลโคกเจริญ อำเภอโคกเจริญ จ.ลพบุรี 15250,ยังดำเนินกิจการอยู่,26/10/2550,26 ตุลาคม 2550,197000000,,,False,'036706096,,,https://www.dataforthai.com/company/0165550000287/,,,,,,,,,
'0315561001504,บริษัท เจริญโพลทรี จำกัด,CHAROEN POULTRY COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,165 หมู่ที่ 1 ตำบลหัวถนน อำเภอนางรอง จ.บุรีรัมย์ 31110,ยังดำเนินกิจการอยู่,4/10/2561,4 ตุลาคม 2561,35000000,,,False,,,,https://www.dataforthai.com/company/0315561001504/,,,,,,,,,
'0205530000043,บริษัท ฉวีวรรณ ฟาร์ม จำกัด,"CHAVEVAN FARM CO., LTD.",,การเลี้ยงไก่เนื้อ,69/1 ถนนสุขุมวิท ตำบลศรีราชา อำเภอศรีราชา จ.ชลบุรี 20110,ยังดำเนินกิจการอยู่,8/1/2530,8 มกราคม 2530,99000000,,,False,,,,https://www.dataforthai.com/company/0205530000043/,,,,,,,,,
'0165550000228,บริษัท ฉายจันทร์ฟาร์ม จำกัด,CHAICHANFARM COMPANY LIMITED,ประกอบกิจการ ฟาร์มเลี้ยงไก่,การเลี้ยงไก่เนื้อ,77 หมู่ที่ 7 ตำบลวังจั่น อำเภอโคกสำโรง จ.ลพบุรี 15120,ยังดำเนินกิจการอยู่,23/8/2550,23 สิงหาคม 2550,45000000,,,False,'0863195727,,,https://www.dataforthai.com/company/0165550000228/,,,,,,,,,
'0205536000380,บริษัท ชโลธร ยูนิค ฟู้ด (ไทยแลนด์) จำกัด,"CHALOTHORN UNIQUE FOOD (THAILAND) CO., LTD.",ฟาร์มไก่เนื้อเพื่อส่งออก,การเลี้ยงไก่เนื้อ,110 หมู่ที่ 2 ตำบลหนองซ้ำซาก อำเภอบ้านบึง จ.ชลบุรี 20170,ยังดำเนินกิจการอยู่,20/1/2536,20 มกราคม 2536,40000000,,,False,,,,https://www.dataforthai.com/company/0205536000380/,,,,,,,,,
'0725563001192,บริษัท ๒ ๒ ๒ ๙ จำกัด,"2229 CO., LTD.",,การเลี้ยงไก่เนื้อ,222/2 หมู่ที่ 5 ตำบลเขาไม้แก้ว อำเภอกบินทร์บุรี จ.ปราจีนบุรี 25110,ยังดำเนินกิจการอยู่,30/7/2563,30 กรกฎาคม 2563,50000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,,,,https://www.dataforthai.com/company/0725563001192/,,,,,,,,,
'0845550002224,บริษัท ชิงธง จำกัด,CHING THONG COMPANY LIMITED,ประกอบกิจการเลี้ยงไก่และสัตว์ทุกชนิด,การเลี้ยงไก่เนื้อ,222/22 หมู่ที่ 2 ตำบลนาเกลือ อำเภอบางละมุง จ.ชลบุรี 20150,ยังดำเนินกิจการอยู่,30/3/2550,30 มีนาคม 2550,929000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'038703182,,,https://www.dataforthai.com/company/0845550002224/,,,,,,,,,
'0105562036273,บริษัท ซัน บรอยเลอร์ส จำกัด,SUN BROILERS COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,1/97-98 ซอยพหลโยธิน 40 ถนนพหลโยธิน แขวงเสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,22/2/2562,22 กุมภาพันธ์ 2562,128000000,,,False,,,,https://www.dataforthai.com/company/0105562036273/,,,,,,,,,
'0265560000815,บริษัท ซาลักฟาร์ม จำกัด,SALUGFARM COMPANY LIMITED,เลี้ยงไก่เนื้อและไก่เนื้อประกันราคา,การเลี้ยงไก่เนื้อ,582 หมู่ที่ 8 ตำบลบ้านพริก อำเภอบ้านนา จ.นครนายก 26110,ยังดำเนินกิจการอยู่,30/8/2560,30 สิงหาคม 2560,157000000,,,False,,,,https://www.dataforthai.com/company/0265560000815/,,,,,,,,,
'0305565002688,บริษัท ซี เอช เจริญฟาร์ม จำกัด,"C H CHAROEN FARM CO., LTD.",ประกอบกิจการฟาร์มเลี้ยงสัตว์ ได้แก่ ไก่ เป็นต้น,การเลี้ยงไก่เนื้อ,807/2 หมู่ที่ 2 ตำบลสุรนารี อำเภอเมืองนครราชสีมา จ.นครราชสีมา 30000,ยังดำเนินกิจการอยู่,22/3/2565,22 มีนาคม 2565,40000000,,,False,,,,https://www.dataforthai.com/company/0305565002688/,,,,,,,,,
'0205545012581,บริษัท ซี เอฟ ฟาร์ม จำกัด,"C F FARM CO.,LTD.",ผลิตไก่เนื้อ,การเลี้ยงไก่เนื้อ,157-159 หมู่ที่ 4 ตำบลเขาซก อำเภอหนองใหญ่ จ.ชลบุรี 20190,ยังดำเนินกิจการอยู่,29/11/2545,29 พฤศจิกายน 2545,645000000,,,False,'038263595,,,https://www.dataforthai.com/company/0205545012581/,,,,,,,,,
'0205538003947,บริษัท ซี.เอฟ.แฮทเชอรี่ จำกัด,C. F. HATCHERY COMPANY LIMITED,ประกอบการเลี้ยงไก่และผลิตลูกไก่เพื่อจำหน่ายในประเทศ,การเลี้ยงไก่เนื้อ,69 ถนนสุขุมวิท ตำบลศรีราชา อำเภอศรีราชา จ.ชลบุรี 20110,ยังดำเนินกิจการอยู่,13/7/2538,13 กรกฎาคม 2538,105000000,,,False,'0398337343,www.chaveevangroup.com,,https://www.dataforthai.com/company/0205538003947/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,
'0315544000180,บริษัท เซ่งเฮงฟาร์ม จำกัด,"SENGHENG FARM CO.,LTD.",ฟาร์มเลี้ยงไก่,การเลี้ยงโคนมและโคเนื้อ,204 หมู่ที่ 3 ตำบลลำปลายมาศ อำเภอลำปลายมาศ จ.บุรีรัมย์ 31130,ยังดำเนินกิจการอยู่,12/12/2544,12 ธันวาคม 2544,66250000,,,False,,,,https://www.dataforthai.com/company/0315544000180/,,,,,,,,,
'0603560001646,ห้างหุ้นส่วนจำกัด ฐิตินันท์ ฟาร์ม,THITINAN FARM LIMITED PARTNERSHIP,,การเลี้ยงไก่เนื้อ,82/1 หมู่ที่ 10 ตำบลหัวหวาย อำเภอตาคลี จ.นครสวรรค์ 60140,ยังดำเนินกิจการอยู่,21/8/2560,21 สิงหาคม 2560,30360000,,,False,,,,https://www.dataforthai.com/company/0603560001646/,,,,,,,,,
'0163558000543,ห้างหุ้นส่วนจำกัด ณัฐวุฒิ 2534 ฟาร์ม,NATTAWUD 2534 FARM LIMITED PARTNERSHIP,,การเลี้ยงไก่เนื้อ,162/1 หมู่ที่ 9 ตำบลโคกสลุง อำเภอพัฒนานิคม จ.ลพบุรี 15140,ยังดำเนินกิจการอยู่,1/5/2558,1 พฤษภาคม 2558,30000000,,,False,,,,https://www.dataforthai.com/company/0163558000543/,,,,,,,,,
'0163556001038,ห้างหุ้นส่วนจำกัด ณัฐวุฒิ บิลเลี่ยนแนร์ ฟาร์ม,NATTHAWUD BILLIONAIRE FARM LIMITED PARTNERSHIP,,การเลี้ยงไก่เนื้อ,89 หมู่ที่ 6 ตำบลห้วยใหญ่ อำเภอสระโบสถ์ จ.ลพบุรี 15240,ยังดำเนินกิจการอยู่,16/8/2556,16 สิงหาคม 2556,49000000,,,False,,,,https://www.dataforthai.com/company/0163556001038/,,,,,,,,,
'0195558001614,บริษัท ดีเอฟจี เทรดดิ้ง จำกัด,DFG TRADING COMPANY LIMITED,ธุรกิจฟาร์มเลี้ยงไก่ เชือดและชำแหละไก่เพื่อจำหน่าย,การเลี้ยงไก่เนื้อ,71 หมู่ที่ 7 ตำบลพุกร่าง อำเภอพระพุทธบาท จ.สระบุรี 18120,ยังดำเนินกิจการอยู่,9/10/2558,9 ตุลาคม 2558,50000000,,,False,'036670266,,,https://www.dataforthai.com/company/0195558001614/,,,,,,,,,
'0305559004046,บริษัท เดชา ปักธงชัย ฟาร์ม 2 จำกัด,DECHA PAKTHONGCHAI FARM 2 COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,88 หมู่ที่ 11 ตำบลตะคุ อำเภอปักธงชัย จ.นครราชสีมา 30150,ยังดำเนินกิจการอยู่,30/8/2559,30 สิงหาคม 2559,44000000,,,False,,,,https://www.dataforthai.com/company/0305559004046/,,,,,,,,,
'0125538000141,บริษัท ตะนาวศรี ไก่ไทย จำกัด,TANOASREE THAI CHICKEN COMPANY LIMITED,การผลิตและขายสัตว์เลี้ยง,การเลี้ยงไก่เนื้อ,102/237 หมู่ที่ 6 ตำบลบางรักพัฒนา อำเภอบางบัวทอง จ.นนทบุรี 11110,ยังดำเนินกิจการอยู่,6/1/2538,6 มกราคม 2538,371061000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'029667008,http://www.foodvillage.co.th,,https://www.dataforthai.com/company/0125538000141/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,,,,,
'0315550000218,บริษัท ตั้งพรชัยฟาร์ม จำกัด,TUNGPORNCHAI FARM COMPANY LIMITED,ฟาร์มเลี้ยงไก่,การเลี้ยงไก่เนื้อ,131 หมู่ที่ 10 ตำบลเมืองไผ่ อำเภอหนองกี่ จ.บุรีรัมย์ 31210,ยังดำเนินกิจการอยู่,18/9/2550,18 กันยายน 2550,53000000,,,False,'0818797692,,,https://www.dataforthai.com/company/0315550000218/,,,,,,,,,
'0305563002567,บริษัท ทริปเปิล เอ็น ฟาร์ม 2 จำกัด,"TRIPLE N FARM 2 CO., LTD.",เลี้ยงไก่เนื้อ,การเลี้ยงไก่เนื้อ,99 หมู่ที่ 9 ตำบลสำโรง อำเภอปักธงชัย จ.นครราชสีมา 30150,ยังดำเนินกิจการอยู่,23/4/2563,23 เมษายน 2563,40000000,,,False,,,,https://www.dataforthai.com/company/0305563002567/,,,,,,,,,
'0305561001547,บริษัท ทริปเปิล เอ็น ฟาร์ม จำกัด,TRIPLE N FARM COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,199 หมู่ที่ 5 ตำบลตะคุ อำเภอปักธงชัย จ.นครราชสีมา 30150,ยังดำเนินกิจการอยู่,9/3/2561,9 มีนาคม 2561,40000000,,,False,,,,https://www.dataforthai.com/company/0305561001547/,,,,,,,,,
'0315548000044,บริษัท ทิพวินฟาร์ม จำกัด,TIPWINFARM COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,65 หมู่ที่ 11 ตำบลหนองโบสถ์ อำเภอนางรอง จ.บุรีรัมย์ 31110,ยังดำเนินกิจการอยู่,2/3/2548,2 มีนาคม 2548,38000000,,,False,'0819893199,,,https://www.dataforthai.com/company/0315548000044/,,,,,,,,,
'0195545000312,บริษัท ที ซี ฟาร์ม จำกัด,"TC FARM CO.,LTD.",เลี้ยงสัตว์,การเลี้ยงไก่เนื้อ,509 หมู่ที่ 5 ตำบลวังม่วง อำเภอวังม่วง จ.สระบุรี 18220,ยังดำเนินกิจการอยู่,2/5/2545,2 พฤษภาคม 2545,37000000,,,False,'0868704362,,,https://www.dataforthai.com/company/0195545000312/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,
'0305559006847,บริษัท ที.เอ็ม.ฟาร์ม จำกัด,T.M.FARM COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,166 หมู่ที่ 11 ตำบลหนองบุนนาก อำเภอหนองบุญมาก จ.นครราชสีมา 30410,ยังดำเนินกิจการอยู่,19/12/2559,19 ธันวาคม 2559,45000000,,,False,,,,https://www.dataforthai.com/company/0305559006847/,,,,,,,,,
'0715563001729,บริษัท ทีเคเอ็น ฟาร์มมิ่ง จำกัด,"TKN FARMING CO., LTD.",,การเลี้ยงไก่เนื้อ,50 หมู่ที่ 8 ตำบลบ้านกรด อำเภอบางปะอิน จ.พระนครศรีอยุธยา 13160,ยังดำเนินกิจการอยู่,20/8/2563,20 สิงหาคม 2563,33000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,,,,https://www.dataforthai.com/company/0715563001729/,,,,,,,,,
'0105554013634,บริษัท ไทย เบสท์ โพลทรี จำกัด,C S STAMLOGISTICS COMPANY LIMITED,ประกอบกิจการเลี้ยงไก่และสัตว์ทุกชนิด,การเลี้ยงสัตว์ปีกอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,121/68 ซอยรามอินทรา 103/2 แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,ยังดำเนินกิจการอยู่,27/1/2554,27 มกราคม 2554,80000000,,,False,'0969499669,https://pauldy.com/,,https://www.dataforthai.com/company/0105554013634/,,,,,,,,,
'0165545000193,บริษัท ไทย ฟู้ดส์ คอนแทรค ฟาร์มมิ่ง จำกัด,THAI POOS CONREACT FARMNG COMPANY LIMITED,การเลี้ยงสัตว์ปีก,การเลี้ยงไก่เนื้อ,1010 อาคารชินวัตรทาวเวอร์ 3 ชั้นที่ 12 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,22/7/2545,22 กรกฎาคม 2545,125000000,,,False,'025138989,https://www.tfg.co.th/th/home,,https://www.dataforthai.com/company/0165545000193/,,,,,,,,,
'0145553000954,บริษัท ไทย ฟู้ดส์ โพลทรีย์ ฟาร์ม จำกัด,THAI FOODS POULTRY FARM COMPANY LIMITED,การเลี้ยงสัตว์ปีก,การเลี้ยงไก่เนื้อ,1010 อาคารชินวัตรทาวเวอร์ 3 ชั้นที่ 12 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,19/3/2553,19 มีนาคม 2553,1200000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'035346811,,,https://www.dataforthai.com/company/0145553000954/,,,,,,,,,
'0265554000051,บริษัท ไทย เอสพีเอฟ จำกัด,THAI SPF COMPANY LIMITED,เลี้ยงสัตว์ปีก ทำฟาร์มไก่แบบปิด,การเลี้ยงไก่เนื้อ,365 หมู่ที่ 3 ตำบลสาริกา อำเภอเมืองนครนายก จ.นครนายก 26000,ยังดำเนินกิจการอยู่,19/5/2554,19 พฤษภาคม 2554,130000000,,,False,'037349971,,,https://www.dataforthai.com/company/0265554000051/,,,,,,,,,
'0315547000211,บริษัท ไทยเจริญพัฒนาเกษตรผสมผสาน จำกัด,SUNKANKASADPASOMPASAN COMPANY LIMITED,เลี้ยงสัตว์,การเลี้ยงไก่เนื้อ,91 หมู่ที่ 6 ตำบลทุ่งกระเต็น อำเภอหนองกี่ จ.บุรีรัมย์ 31210,ยังดำเนินกิจการอยู่,29/6/2547,29 มิถุนายน 2547,70000000,,,False,,,,https://www.dataforthai.com/company/0315547000211/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,
'0315559001021,บริษัท ธนชัย ฟาร์ม จำกัด,THANACHAI FARM COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,110 หมู่ที่ 2 ตำบลหนองบุนนาก อำเภอหนองบุญมาก จ.นครราชสีมา 30410,ยังดำเนินกิจการอยู่,8/9/2559,8 กันยายน 2559,55000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,,,,https://www.dataforthai.com/company/0315559001021/,,,,,,,,,
'0305548001474,บริษัท ธนาวีร์ ฟาร์ม จำกัด,"THANAVEE FARM CO.,LTD.",ปศุสัตว์และเกษตรกรรม,การเลี้ยงไก่เนื้อ,95 หมู่ที่ 2 ตำบลวังโรงใหญ่ อำเภอสีคิ้ว จ.นครราชสีมา 30140,ยังดำเนินกิจการอยู่,23/8/2548,23 สิงหาคม 2548,30000000,,,False,'044249235,,,https://www.dataforthai.com/company/0305548001474/,,,,,,,,,
'0165548000160,บริษัท ธรรมเกษตร จำกัด,DHAMMAKASET COMPANY LIMITED,ประกอบกิจการเลี้ยงไก่เนื้อ,การเลี้ยงไก่เนื้อ,99 หมู่ที่ 9 ตำบลหนองแขม อำเภอโคกสำโรง จ.ลพบุรี 15120,ยังดำเนินกิจการอยู่,11/4/2548,11 เมษายน 2548,80000000,,,False,,,,https://www.dataforthai.com/company/0165548000160/,,,,,,,,,
'0315552000193,บริษัท ธราวัฒน์ ฟาร์ม จำกัด,"TARAWAT FARM CO.,LTD.",ฟาร์มเลี้ยงไก่,การเลี้ยงไก่เนื้อ,109 หมู่ที่ 9 ตำบลหัวถนน อำเภอนางรอง จ.บุรีรัมย์ 31110,ยังดำเนินกิจการอยู่,10/6/2552,10 มิถุนายน 2552,90000000,,,False,,,,https://www.dataforthai.com/company/0315552000193/,,,,,,,,,
'0315549000048,บริษัท ธัญมนต์ฟาร์ม จำกัด,TUNYAMON FARM COMPANY LIMITED,ฟาร์มเลี้ยงไก่,การเลี้ยงไก่เนื้อ,166 หมู่ที่ 11 ตำบลหนองบุนนาก อำเภอหนองบุญมาก จ.นครราชสีมา 30410,ยังดำเนินกิจการอยู่,27/1/2549,27 มกราคม 2549,90000000,,,False,,,,https://www.dataforthai.com/company/0315549000048/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,
'0105533064868,บริษัท นครชัยศรีฟาร์ม จำกัด,NAKHON CHAISRI FARM COMPANY LIMITED,ฟาร์มไก่เนื้อ,การเลี้ยงไก่เนื้อ,1126/1 ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,ยังดำเนินกิจการอยู่,7/6/2533,7 มิถุนายน 2533,815000000,,,False,,,,https://www.dataforthai.com/company/0105533064868/,,,,,,,,,
'0275557000435,บริษัท น้ำทองวีระฟาร์ม จำกัด,NAMTHONGVEERA FARM COMPANY LIMITED,ประกอบกิจการ ฟาร์มปศุสัตว์ระบบปิดเลี้ยงไก่เนื้อแบบประกันราคา,การเลี้ยงไก่เนื้อ,99 หมู่ที่ 10 ตำบลวังตะเคียน อำเภอกบินทร์บุรี จ.ปราจีนบุรี 25110,ยังดำเนินกิจการอยู่,28/5/2557,28 พฤษภาคม 2557,40000000,,,False,,,,https://www.dataforthai.com/company/0275557000435/,,,,,,,,,
'0205543000934,บริษัท เนื่องจำนงค์ฟาร์ม จำกัด,NEUNGJAMNONG FARM COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,196/15 หมู่ที่ 1 ตำบลคลองกิ่ว อำเภอบ้านบึง จ.ชลบุรี 20220,ยังดำเนินกิจการอยู่,4/2/2543,4 กุมภาพันธ์ 2543,105000000,,,False,'038201284,,,https://www.dataforthai.com/company/0205543000934/,,,,,,,,,
'0245548001092,บริษัท บุญแปด จำกัด,BOON 8 COMPANY LIMITED,ฟาร์มไก่พันธุ์ ฟาร์มไก่รุ่น ฟักลูกไข่และฟักไข่ไก่,การเลี้ยงไก่เนื้อ,88 หมู่ที่ 7 ตำบลลาดกระทิง อำเภอสนามชัยเขต จ.ฉะเชิงเทรา 24160,ยังดำเนินกิจการอยู่,8/9/2548,8 กันยายน 2548,60000000,,,False,,,,https://www.dataforthai.com/company/0245548001092/,,,,,,,,,
'0315555000267,บริษัท บุญยังฟาร์ม จำกัด,BOONYUNG FARM COMPANY LIMITED,,การเลี้ยงไก่เนื้อ,99 หมู่ที่ 9 ตำบลเมืองฝาง อำเภอเมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,ยังดำเนินกิจการอยู่,4/5/2555,4 พฤษภาคม 2555,35000000,,,False,,,,https://www.dataforthai.com/company/0315555000267/,,,,,,,,,
'0105554016510,บริษัท เบสท์ ชิคส์ จำกัด,BEST CHICKS COMPANY LIMITED,ประกอบกิจการเลี้ยงไก่และสัตว์ทุกชนิด,การเลี้ยงไก่เนื้อ,88/8 ถนนนวมินทร์ แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,ยังดำเนินกิจการอยู่,2/2/2554,2 กุมภาพันธ์ 2554,918000000,,,False,,,,https://www.dataforthai.com/company/0105554016510/,,,,,,,,,
'0105518002938,บริษัท ป.เจริญพันธ์อาหารสัตว์ จำกัด,P. CHAROENPHAN FEEDMILL COMPANY LIMITED,เลี้ยงไก่เพื่อจำหน่ายให้เช่าอสังหาริมทรัพย์ / ขายและบริการอื่นๆ,การเลี้ยงไก่เนื้อ,312 ถนนพระรามที่ 2 แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150,ยังดำเนินกิจการอยู่,1/4/2518,1 เมษายน 2518,125000000,,,False,'0224738000,https://www.ktfood.co.th/?me=en-home,,https://www.dataforthai.com/company/0105518002938/,,,,,,,,,
'0735560002571,บริษัท ประวิทย์ฟาร์ม จำกัด,PRAWIT FARM COMPANY LIMITED,ทำฟาร์มเลี้ยงไก่ ผลิต จำหน่าย ขนส่งไก่และอาหารสัตว์,การเลี้ยงไก่เนื้อ,208 หมู่ที่ 15 ตำบลโพรงมะเดื่อ อำเภอเมืองนครปฐม จ.นครปฐม 73000,ยังดำเนินกิจการอยู่,7/4/2560,7 เมษายน 2560,100000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034377600,,,https://www.dataforthai.com/company/0735560002571/,,,,,,,,,
