เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่เลิก,เสร็จชำระบัญชี,วันที่ร้าง,ศาลสั่งพิทักษ์ทรัพย์,พิพากษาล้มละลาย,เว็บไซต์,"สมัครงาน / ดูตำแหน่งงานว่าง
 ดูตำแหน่งงานจาก JOBBKK"
'0105549113375,บริษัท ไทย อินสแตนท์ โพรดักส์ จำกัด,THAI INSTANT PRODUCTS COMPANY LIMITED,ผลิตภัณฑ์จากข้าว มันสำปะหลัง ข้าวโพด พืชผลทางการเกษตร,การขายส่งข้าวเปลือกและธัญพืชอื่นๆ,41/7 หมู่ที่ 8 นิคมอุตสาหกรรมเหมราชชลบุรี ถนนซีไออี 1 ตำบลบ่อวิน อำเภอศรีราชา จ.ชลบุรี 20230,ยังดำเนินกิจการอยู่,21/9/2549,21 กันยายน 2549,240000000,"กรรมการ: นายพันธ์ พะเนียงเวทย์, นายคอร์เนลิส เฮเลน่า โยฮันเนส ลาโรส",,False,,www.tipth.com,,https://www.dataforthai.com/company/0105549113375/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,
'0745554004923,บริษัท ฟินิกซ์ ฟู๊ด อิมปอร์ต เอ็กซ์ปอร์ต จำกัด,PHOENIX FOOD IMPORT EXPORT COMPANY LIMITED,,การขายส่งข้าวเปลือกและธัญพืชอื่นๆ,123/15 หมู่ที่ 5 ตำบลพันท้ายนรสิงห์ อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,18/10/2554,18 ตุลาคม 2554,260000000,"กรรมการ: นายจาง ไช่เจี่ยน, นายจินซอง เฉิน, นายจักรพันธ์ ฉลาดธัญญกิจ",,False,,http://www.phoenixfood.co.th/,,https://www.dataforthai.com/company/0745554004923/,,,,,,,,
'0105546028113,บริษัท กรีนไดมอนแลนด์ จำกัด,GREEN DIAMOND LAND COMPANY LIMITED,ซื้อขายเกี่ยวกับผลิตภัณฑ์ทางการเกษตร,การขายส่งข้าวเปลือกและธัญพืชอื่นๆ,441 ถนนสมเด็จพระปิ่นเกล้า แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700,ยังดำเนินกิจการอยู่,5/3/2546,5 มีนาคม 2546,300000000,"กรรมการ: นายกิตติ ภัทรเลาหะ, พันเอกยรรยง ภัทรเลาหะ, เรืออากาศเอกณรงค์ ภัทรเลาหะ, นายแสงไชย โตวิเศษ",,False,,,,https://www.dataforthai.com/company/0105546028113/,,,,,,,,
'0675551000120,บริษัท เอส เค สตาร์ฟรุ๊ต จำกัด,"S K STAR FRUIT CO.,LTD.",ประกอบกิจการซื้อขายพืชผลทางการเกษตร,การขายส่งข้าวเปลือกและธัญพืชอื่นๆ,98 หมู่ที่ 9 ตำบลหินฮาว อำเภอหล่มเก่า จ.เพชรบูรณ์ 67120,ยังดำเนินกิจการอยู่,30/6/2551,30 มิถุนายน 2551,355000000,"กรรมการ: นางสาววรัญญภัคก์ ศรีมหัทธนเวคิน, นายกิตติพงษ์ สีหมอก",,False,,,,https://www.dataforthai.com/company/0675551000120/,,,,,,,,
'0105490001045,บริษัท กมลกิจ จำกัด,KAMOLKIJ COMPANY LIMITED,ส่งออกสินค้าเกษตรการผลิตน้ำมันพืช,การขายส่งข้าวเปลือกและธัญพืชอื่นๆ,293/23-26 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,ยังดำเนินกิจการอยู่,25/12/2490,25 ธันวาคม 2490,391000000,"กรรมการ: นางสาวกอบสุข เอี่ยมสุรีย์, นายวราพงษ์ สุภาโชค, นางสาวสุวรรณา ตั้งเคียงศิริสิน, นายสนิท เหล่าจินดาพันธ์, นายสมบูรณ์ คุณพนิชกิจ",,False,,,,https://www.dataforthai.com/company/0105490001045/,,,,,,,,
'0105512004840,บริษัท ทรัพย์สถาพร จำกัด,SUI HENG LEE COMPANY LIMITED,ส่งออกมันสำปะหลัง,การขายส่งข้าวเปลือกและธัญพืชอื่นๆ,68 ถนนทรัพย์ แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500,ยังดำเนินกิจการอยู่,10/10/2512,10 ตุลาคม 2512,400000000,"กรรมการ: นายธิติชัย ศรีสถาพร, นายสุพจน์ ศรีสถาพร, นายสุนัย สถาพร, นายสุนทร สถาพร, นายศุภมงคล ศรีสถาพร, นายตุลย์ วัชราเรืองวิทย์",,False,,,,https://www.dataforthai.com/company/0105512004840/,ดูตำแหน่งงานจาก WORKVENTURE,,,,,,,
'0107559000346,บริษัท ศิวทรัพย์ จำกัด (มหาชน),SIVASUP PUBLIC COMPANY LIMITED,การขายส่งข้าวเปลือกและข้าวเปลือกเหนียว การขายส่งธัญพืชอื่นๆ เช่น ข้าวโพด ข้าวสาลี ข้าวบาร์เลย์ ข้าวฟ่าง ฯลฯ,การขายส่งข้าวเปลือกและธัญพืชอื่นๆ,573/104 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนรามคำแหง แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,ยังดำเนินกิจการอยู่,24/6/2559,24 มิถุนายน 2559,15000000000,"กรรมการ: นางสาวพรกมล เกตุสิงห์, นายปฤษดา สกลผดุงเขตต์, นางสาวอุ้มบุญ เกตุสิงห์, นางสาวกัลยา เกตุสิงห์, นายกิตติพงศ์ สุประดิษฐ์ ณ อยุธยา",,False,,,,https://www.dataforthai.com/company/0107559000346/,,,,,,,,
'0905557001567,บริษัท ยูไนเต็ด ไทย ปาล์ม จำกัด,UNITED THAI PALM COMPANY LIMITED,นำเข้า-ส่งออก เกษตรปาล์ม,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,77/15 หมู่ที่ 2 ถนนกาญจนวนิช ตำบลสำนักขาม อำเภอสะเดา จ.สงขลา,ยังดำเนินกิจการอยู่,14/5/2557,14 พฤษภาคม 2557,30000000,"กรรมการ: นางสาวณัฐธยาน์ ภณธันยาบูรณ์, นายอึง ไช บูน, นายซัยฟุดดีน หมันหลี",,False,,,,https://www.dataforthai.com/company/0905557001567/,,,,,,,,
'0105529030849,บริษัท ส.ไทยเจริญพรพาณิชย์ จำกัด,"S. THAI CHAROENPORN COMMERCIAL CO., LTD.",ขายกากถั่วเหลือง,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,42 ซอยจันทน์ 35 ถนนจันทน์ แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,3/9/2529,3 กันยายน 2529,30000000,"กรรมการ: นางสมพร โชคนิธิเวศ, นายมณฑล โชคนิธิเวศ, นางกันธรา ตรังอดิศัยกุล, นางสาวสุภัค โชคนิธิเวศ, นางสาวโชติกา โชคนิธิเวศ",,False,,,,https://www.dataforthai.com/company/0105529030849/,,,,,,,,
'0105559076405,บริษัท เมธีน้ำมันปาล์ม จำกัด,METEE PALM OIL COMPANY LIMITED,การขายส่งน้ำมันปาล์มดิบ,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,159 ซอยบุญอยู่ ถนนดินแดง แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,ยังดำเนินกิจการอยู่,18/5/2559,18 พฤษภาคม 2559,100000000,"กรรมการ: นายอธิศกิตติ์ รุจิศักดิ์เมธี, นางภัคธนัทกันต์ รุจิศักดิ์เมธี",,False,,,,https://www.dataforthai.com/company/0105559076405/,,,,,,,,
'0905522000262,บริษัท ไทยยูเนียนออยล์ปาล์ม จำกัด,THAI UNION OIL PALM COMPANY LIMITED,จำหน่ายลูกปาล์ม,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,43 ซอย11 (รัถการ) ตำบลหาดใหญ่ อำเภอหาดใหญ่ จ.สงขลา 90110,ยังดำเนินกิจการอยู่,6/9/2522,6 กันยายน 2522,30000000,"กรรมการ: นายเจริญชัย ชีวศรีรุ่งเรือง, นายวินัย ปรีชาวีรกุล, นายนพพร ศาสตรานุรักษ์, นายศักดิ์ชัย ปรีชาวีรกุล",,False,,,,https://www.dataforthai.com/company/0905522000262/,,,,,,,,
'0475560000759,บริษัท มั่นสกล การเกษตร จำกัด,MUNSAKON AGRICULTURE COMPANY LIMITED,ประกอบกิจการค้าน้ำมันจากพืช ซื้อขายปาล์ม,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,222 หมู่ที่ 11 ตำบลขัวก่าย อำเภอวานรนิวาส จ.สกลนคร 47120,ยังดำเนินกิจการอยู่,12/9/2560,12 กันยายน 2560,50000000,กรรมการ: นางสาวพิชญ์นรี เอ่งฉ้วน,,False,,,,https://www.dataforthai.com/company/0475560000759/,,,,,,,,
'0505561014558,บริษัท ลิ้มศักดากุล พืชพันธุ์ไทย จำกัด,LIMSAKDAKUL THAI GRAINS COMPANY LIMITED,ขายผลผลิตทางการเกษตร,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,309 หมู่ที่ 3 ตำบลสันปูเลย อำเภอดอยสะเก็ด จ.เชียงใหม่ 50220,ยังดำเนินกิจการอยู่,7/9/2561,7 กันยายน 2561,50000000,"กรรมการ: นายวิรัตน์ ลิ้มศักดากุล, นายณัฐพล ลิ้มศักดากุล",,False,,,,https://www.dataforthai.com/company/0505561014558/,,,,,,,,
'0505550002634,บริษัท ลิ้มศักดากุลอุตสาหกรรมการเกษตร(ไทยแลนด์) จำกัด,LIMSAKDAKUL AGRICULTURAL INDUSTRIAL (THAILAND) COMPANY LIMITED,"ขายผลผลิตทางการเกษตร (ถั่วเหลือง,ข้าวโพด,ลูกเดือย,ข้าว ฯลฯ)",การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,309 หมู่ที่ 3 ตำบลสันปูเลย อำเภอดอยสะเก็ด จ.เชียงใหม่ 50220,ยังดำเนินกิจการอยู่,14/6/2550,14 มิถุนายน 2550,80000000,"กรรมการ: นายวิรัตน์ ลิ้มศักดากุล, นางเทวี ลิ้มศักดากุล, นางทิพย์วรรณ พร้อมพันธุ์, นายณัฐพล ลิ้มศักดากุล, นางสาวเขมวรรณ ลิ้มศักดากุล",,False,,http://www.limsakdakul.com,,https://www.dataforthai.com/company/0505550002634/,,,,,,,,
'0905559002838,บริษัท อริยะพัฒนา จำกัด,"ARIYA PATTANA CO.,LTD.",,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,319 หมู่ที่ 2 ถนนเพชรเกษม ตำบลควนลัง อำเภอหาดใหญ่ จ.สงขลา 90110,ยังดำเนินกิจการอยู่,9/6/2559,9 มิถุนายน 2559,100000000,"กรรมการ: นางมะลิวัลย์ รัตนเลิศ, นายสมบูรณ์ ตันโชติกุล, นายสมพงษ์ ตันโชติกุล, นายสมบัติ ตันโชติกุล, นายสมโภชน์ ตันโชติกุล, นางอนงค์ ไพจิตรประภาภรณ์, นางสาวอุไรวรรณ ตันโชติกุล, นายสมนึก ตันโชติกุล",,False,,,,https://www.dataforthai.com/company/0905559002838/,,,,,,,,
'0865552000393,บริษัท ริชฟิลด์ ออยล์ จำกัด,"RICHFIELD OIL CO.,LTD.",การจัดจำหน่ายปาล์มน้ำมันและผลพลอยได้จาการผลิตน้ำมันปาล์มและน้ำมันปาล์มเมล็ดใน,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,185 หมู่ที่ 8 ตำบลละแม อำเภอละแม จ.ชุมพร 86170,ยังดำเนินกิจการอยู่,4/12/2552,4 ธันวาคม 2552,235000000,"กรรมการ: นายศุภพิสุทธิ์ พิสุทธิ์ธนนันท์, นายจตุพล พรมเดช",,False,,,,https://www.dataforthai.com/company/0865552000393/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,
'0105554049108,บริษัท เสถียรปาล์ม จำกัด,"SATHINA PALM CO.,LTD.",ประกอบกิจการหีบปาล์ม จำหน่ายน้ำมันปาล์มดิบ,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,218 ถนนอิสรภาพ แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600,ยังดำเนินกิจการอยู่,7/4/2554,7 เมษายน 2554,245000000,"กรรมการ: นายวิโรจน์ อุฬารเสถียร, นายเชวง อุฬารเสถียร, นายธนดล อุฬารเสถียร",,False,,,,https://www.dataforthai.com/company/0105554049108/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,
'0125554016013,บริษัท เอชเอ็นซี เพาเวอร์ จำกัด,HNC POWER COMPANY LIMITED,,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,489 ถนนนนทบุรี ตำบลบางกระสอ อำเภอเมืองนนทบุรี จ.นนทบุรี 11000,ยังดำเนินกิจการอยู่,1/9/2554,1 กันยายน 2554,250000000,"กรรมการ: นางสาวนุสรา บุญวัฒน์, นายศุภพิสุทธิ์ พิสุทธิ์ธนนันท์, นายกุศล สังขนันท์, นายธงชัย สุวรรณวิหค, นายชาตรี ชื่นสุขสินทรัพย์",,False,,www.hnc.co.th,,https://www.dataforthai.com/company/0125554016013/,,,,,,,,
'0105538021822,บริษัท กสิสุรีย์ จำกัด,KASISURI COMPANY LIMITED,การส่งออกสินค้าเกษตร และส่งออกน้ำมันพืชการผลิตน้ำมันพืชและอาหารสัตว์,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,293/22-26 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,ยังดำเนินกิจการอยู่,20/2/2538,20 กุมภาพันธ์ 2538,700000000,"กรรมการ: นายวราพงษ์ สุภาโชค, นางสาวกอบสุข เอี่ยมสุรีย์, นางสาวสุวรรณา ตั้งเคียงศิริสิน, นายสนิท เหล่าจินดาพันธ์, นายสมบูรณ์ คุณพนิชกิจ",,False,,,,https://www.dataforthai.com/company/0105538021822/,,,,,,,,
'0105552125770,บริษัท ไทย ไบโอ อินโนเวชั่น จำกัด,THAI BIO INNOVATION COMPANY LIMITED,ประกอบกิจการโรงงานสกัดน้ำมันปาล์ม,การขายส่งพืชน้ำมันที่ใช้ในการผลิตน้ำมันพืช,197/2 ถนนกระบี่ ตำบลปากน้ำ อำเภอเมืองกระบี่ จ.กระบี่ 81000,ยังดำเนินกิจการอยู่,19/11/2552,19 พฤศจิกายน 2552,830000000,"กรรมการ: นายพลลภัตม์ ศรีวิศาลวงษ์, นางสาวจิรวัฒนา ทองประมูล, นายเศรษฐภัค สังข์ทรัพย์",,False,,,,https://www.dataforthai.com/company/0105552125770/,,,,,,,,
'0305549000749,บริษัท ศิรธรรมพิทักษ์ จำกัด,SIRATHAMPHITHAK COMPANY LIMITED,"จำหน่ายสัตว์บก,สัตว์น้ำ,ผลิตภัณฑ์เนื้อสัตว์",การขายส่งสัตว์มีชีวิต,114 หมู่ที่ 9 ตำบลหนองกระทุ่ม อำเภอเมืองนครราชสีมา จ.นครราชสีมา 30000,ยังดำเนินกิจการอยู่,11/4/2549,11 เมษายน 2549,33000000,"กรรมการ: นางภัทรานิษฐ์ ศิรธรรมพิทักษ์, นายธิติวัฒน์ ศิรธรรมพิทักษ์",,False,,,,https://www.dataforthai.com/company/0305549000749/,,,,,,,,
'0735561002272,บริษัท เอเจ โอเชี่ยน ฟาร์ม จำกัด,AJ OCEAN FARM COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,23/3 หมู่ที่ 3 ถนนเพชรเกษม ตำบลยายชา อำเภอสามพราน จ.นครปฐม 73110,ยังดำเนินกิจการอยู่,21/3/2561,21 มีนาคม 2561,40000000,"กรรมการ: นายเอนก เจียมพิทยานุวัฒน์, นางจารุวรรณ เจียมพิทยานุวัฒน์, นายจิตติคุณ เจียมพิทยานุวัฒน์, นายจิตติพงศ์ เจียมพิทยานุวัฒน์",,False,,,,https://www.dataforthai.com/company/0735561002272/,,,,,,,,
'0705561003643,บริษัท อินเตอร์โกรว์ฟาร์ม จำกัด,INTER GROW FARM COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,99 หมู่ที่ 11 ตำบลจอมบึง อำเภอจอมบึง จ.ราชบุรี 70150,ยังดำเนินกิจการอยู่,25/12/2561,25 ธันวาคม 2561,48000000,กรรมการ: นายวสันต์ กลิ่นสุคนธ์,,False,,,,https://www.dataforthai.com/company/0705561003643/,ดูตำแหน่งงานจาก JOBBKK,,,,,,,
'0205563034371,บริษัท สยามบูรพาฟาร์ม จำกัด,"SIAM BURAPHAFARM CO., LTD.",ประกอบกิจการ ซื้อ ขาย สัตว์มีชีวิต เนื้อสัตว์ชำแหละ อาหารสัตว์ และพืชผลทางการเกษตรอื่นทุกชนิด,การขายส่งสัตว์มีชีวิต,499 หมู่ที่ 2 ตำบลวัดสุวรรณ อำเภอบ่อทอง จ.ชลบุรี 20270,ยังดำเนินกิจการอยู่,16/11/2563,16 พฤศจิกายน 2563,50000000,"กรรมการ: นายนรินทร์ ปรารถนาพร, นายสมชาติ อมรวัฒนวงษ์, นายวิสูติ อนุรักษ์วงศ์ศรี, นายวสรรณ์ อนุรักษ์วงศ์ศรี, นายวุฒิศักดิ์ วรศิลป์ชัย",,False,,,,https://www.dataforthai.com/company/0205563034371/,,,,,,,,
'0105543002105,บริษัท อกริฟีด แอนด์ ไลฟ์สต๊อค จำกัด,"AGRIFEED AND LIVESTOCK CO., LTD.",ขายสุกร,การขายส่งสัตว์มีชีวิต,43/1089 ถนนรามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,ยังดำเนินกิจการอยู่,6/1/2543,6 มกราคม 2543,50000000,กรรมการ: นายสุมิต ศรีสุนทร,,False,,,,https://www.dataforthai.com/company/0105543002105/,,,,,,,,
'0715561001322,บริษัท ไอ.เอ็น.อินเตอร์ ฟู้ดส์ 2020 จำกัด,"I.N. INTER FOODS 2020 CO., LTD.",ค้าสัตว์มีชีวิต,การขายส่งสัตว์มีชีวิต,11/7 ถนนสิงคโปร์ ตำบลท่ามะขาม อำเภอเมืองกาญจนบุรี จ.กาญจนบุรี 71000,ยังดำเนินกิจการอยู่,11/6/2561,11 มิถุนายน 2561,50000000,กรรมการ: นายสหัสณัฏฐ์ ธาราโชตทวีกุล,,False,,,,https://www.dataforthai.com/company/0715561001322/,,,,,,,,
'0505539000256,บริษัท แม่ทา พี.ดี. จำกัด,MAETHA P.D. COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,100 หมู่ที่ 4 ตำบลท่าศาลา อำเภอเมืองเชียงใหม่ จ.เชียงใหม่ 50000,ยังดำเนินกิจการอยู่,10/1/2539,10 มกราคม 2539,58000000,"กรรมการ: นายณรัณ กัลยาณจารี, นายธนวัต กัลยาณจารี",,False,,,,https://www.dataforthai.com/company/0505539000256/,,,,,,,,
'0805545000081,บริษัท เกษตรลุ่มน้ำ จำกัด,,"ขายแม่พันธุ์,ลูกโค,มูลสัตว์ ขายปาล์มสด,น้ำมันปาล์มดิบ",การขายส่งสัตว์มีชีวิต,1/1 ถนนพัฒนาการคูขวาง ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,ยังดำเนินกิจการอยู่,24/1/2545,24 มกราคม 2545,60000000,"กรรมการ: นายสมนึก เกตุชาติ, นายกณพ เกตุชาติ, นางสาวประณุดา เกตุชาติ, นางสมฤดี พงษ์เกษมพรกุล",,False,,,,https://www.dataforthai.com/company/0805545000081/,,,,,,,,
'0205553022426,บริษัท เฮลธ์ ฟู้ดส์ อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,"HEALTH FOODS INTERNATIONAL (THAILAND) CO.,LTD.",ประกอบกิจการขายสินค้า,การขายส่งสัตว์มีชีวิต,228 หมู่ที่ 2 ตำบลนาเกลือ อำเภอบางละมุง จ.ชลบุรี 20150,ยังดำเนินกิจการอยู่,20/10/2553,20 ตุลาคม 2553,63800000,"กรรมการ: นางวาล เตชะวงศ์, นางสาวจันทยา จันทร์ไชยแก้ว",,False,,,,https://www.dataforthai.com/company/0205553022426/,,,,,,,,
'0705561003601,บริษัท วิเชียรคันทรี่พิกฟาร์ม 999 จำกัด,WICHIAN COUNTRY PICK FARM 999 COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,99/4 หมู่ที่ 9 ตำบลจอมบึง อำเภอจอมบึง จ.ราชบุรี 70150,ยังดำเนินกิจการอยู่,24/12/2561,24 ธันวาคม 2561,75000000,กรรมการ: นายวิเชียร ธีระสัตยกุล,,False,,,,https://www.dataforthai.com/company/0705561003601/,,,,,,,,
'0485548000035,บริษัท บุญทะพาน ฟาร์ม จำกัด,"BUNTAPHAN FARM CO.,LTD.",ประกอบกิจการขายส่งสัตว์มีชีวิต,ร้านขายปลีกสัตว์เลี้ยงและอุปกรณ์ที่เกี่ยวข้อง,99 หมู่ที่ 7 ตำบลกุรุคุ อำเภอเมืองนครพนม จ.นครพนม 48000,ยังดำเนินกิจการอยู่,25/7/2548,25 กรกฎาคม 2548,85000000,กรรมการ: นายสมทัด บุญทะพาน,,False,,,,https://www.dataforthai.com/company/0485548000035/,,,,,,,,
'0303541001116,ห้างหุ้นส่วนจำกัด ราชสีมาเกษตรภัณฑ์,,จำหน่ายสัตว์ อาหารสัตว์ ยารักษาโรคสัตว์,การขายส่งสัตว์มีชีวิต,151/17 ถนนสืบศิริ ตำบลในเมือง อำเภอเมืองนครราชสีมา จ.นครราชสีมา 30000,ยังดำเนินกิจการอยู่,20/7/2541,20 กรกฎาคม 2541,100000000,"หุ้นส่วน: นายแสวง วรรณรัตน์ ลงหุ้นด้วยเงิน จำนวน 73,680,000.00 บาท, นางเนาวรัตน์ จักษุรัตน์ ลงหุ้นด้วยเงิน จำนวน 15,040,000.00 บาท, นายสวัสดิ์ วรรณรัตน์ ลงหุ้นด้วยเงิน จำนวน 11,280,000.00 บาท",,False,,,,https://www.dataforthai.com/company/0303541001116/,,,,,,,,
'0135521000037,บริษัท เซนทาโก จี พี ฟาร์ม จำกัด,"CENTRAL G.P. FARM CO., LTD.",ขายไก่พันธุ์,การขายส่งสัตว์มีชีวิต,7/3 หมู่ที่ 1 ถนนพหลโยธิน ตำบลคลองหนึ่ง อำเภอคลองหลวง จ.ปทุมธานี,ยังดำเนินกิจการอยู่,26/9/2521,26 กันยายน 2521,100000000,"กรรมการ: นายพงษ์ เหล่าวรวิทย์, นางสาวอรพินท์ กำบุญเลิศ, นายไพบูลย์ เหล่าวรวิทย์, นางสาวนลิน เหล่าวรวิทย์, นางสาวพรทิพย์ ภูมิพัฒน์มงคล, นางสาวนริสา เหล่าวรวิทย์, นายทิพย์ มานุพีรพันธ์",,False,,,,https://www.dataforthai.com/company/0135521000037/,,,,,,,,
'0705561003635,บริษัท เสถียรฟาร์ม 888 จำกัด,SATIEN FARM 888 COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,70 หมู่ที่ 2 ตำบลห้วยไผ่ อำเภอเมืองราชบุรี จ.ราชบุรี 70000,ยังดำเนินกิจการอยู่,25/12/2561,25 ธันวาคม 2561,105000000,"กรรมการ: นายเสถียร ธีระสัตยกุล, นางอุษา ธีระสัตยกุล, นายชาญชัย ธีระสัตยกุล, นายบรรยงค์ ธีระสัตยกุล",,False,,,,https://www.dataforthai.com/company/0705561003635/,,,,,,,,
'0705561003597,บริษัท ชุนบิสสิเนส ฟาร์ม999 จำกัด,CHUN BUSINESS FARM999 COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,99/9 หมู่ที่ 9 ตำบลจอมบึง อำเภอจอมบึง จ.ราชบุรี 70150,ยังดำเนินกิจการอยู่,24/12/2561,24 ธันวาคม 2561,109000000,"กรรมการ: นางสายยนต์ ธีระสัตยกุล, นายณรงค์ ธีระสัตยกุล, นางสาวชลิตา ธีระสัตยกุล",,False,,,,https://www.dataforthai.com/company/0705561003597/,,,,,,,,
'0205531000900,บริษัท พงษ์ศักดิ์การเกษตร จำกัด,,เลี้ยงไก่เนื้อเพื่อขายและรับซื้อไก่ประกันราคา,การขายส่งสัตว์มีชีวิต,126 หมู่ที่ 3 ตำบลหนองไม้แดง อำเภอเมืองชลบุรี จ.ชลบุรี 20000,ยังดำเนินกิจการอยู่,17/3/2531,17 มีนาคม 2531,120000000,"กรรมการ: นายวีระพงษ์ ปัญจวัฒนกุล, นายวีระศักดิ์ ปัญจวัฒนกุล",,False,,,,https://www.dataforthai.com/company/0205531000900/,,,,,,,,
'0705561003708,บริษัท พี.เอ็น.เอฟ ราชบุรี จำกัด,P.N.F RATCHABURI COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,118 หมู่ที่ 3 ตำบลพิกุลทอง อำเภอเมืองราชบุรี จ.ราชบุรี 70000,ยังดำเนินกิจการอยู่,26/12/2561,26 ธันวาคม 2561,122000000,"กรรมการ: นายปรีชา นิ่มนวล, นางบรรจบ นิ่มนวล, นายปริญญา นิ่มนวล, นางสาวปาริชาต นิ่มนวล",,False,,,,https://www.dataforthai.com/company/0705561003708/,,,,,,,,
'0705561003619,บริษัท เจริญผลฟาร์ม ราชบุรี จำกัด,CHAROENPHONFARM RATCHABURI COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,127 หมู่ที่ 6 ตำบลพิกุลทอง อำเภอเมืองราชบุรี จ.ราชบุรี 70000,ยังดำเนินกิจการอยู่,24/12/2561,24 ธันวาคม 2561,127000000,"กรรมการ: นายอำนาจ เจริญผล, นางศศิธร เจริญผล, นายประชุม เจริญผล",,False,,,,https://www.dataforthai.com/company/0705561003619/,,,,,,,,
'0205531003801,บริษัท ยู่สูง จำกัด,YOO SOONG COMPANY LIMITED,ขายไก่เนื้อ ลูกไก่ อาหารสัตว์และไข่สด,การขายส่งสัตว์มีชีวิต,68/4 หมู่ที่11 ตำบลนาป่า อำเภอเมืองชลบุรี จ.ชลบุรี 20000,ยังดำเนินกิจการอยู่,14/12/2531,14 ธันวาคม 2531,200000000,"กรรมการ: นายซำ อิทธิปาลกุล, นายภูษิต อิทธิปาลกุล, นายศุภชัย อิทธิปาลกุล",,False,,,,https://www.dataforthai.com/company/0205531003801/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,
'0105554033651,บริษัท เฮ็ลธ์ฟู้ดส์ คอร์ปอเรชั่น จำกัด,HEALTH FOOD CORPORATION COMPANY LIMITED,,การขายส่งสัตว์มีชีวิต,14 ซอยคู้บอน 13 แยก 1 แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,ยังดำเนินกิจการอยู่,8/3/2554,8 มีนาคม 2554,200000000,กรรมการ: นายธีรวุทธ์ อัศวโสภณ,,False,,http://www.hfc.co.th,,https://www.dataforthai.com/company/0105554033651/,,,,,,,,
